number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bottleneck_channels,params_kernel_size,params_label_smoothing,params_lr,params_num_blocks,params_num_branches,params_num_modules,params_out_channels,params_weight_decay,user_attrs_best_loss,user_attrs_best_test_acc,user_attrs_best_train_acc,user_attrs_best_val_acc,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
60,0.6329442889902605,2026-03-10 12:18:38.301117,2026-03-10 12:18:43.597834,0 days 00:00:05.296717,32,8,17,0.07162293440373613,0.0023173538663209528,1,4,4,8,3.935312610418963e-06,,,,,0.6329442889902605,,,PRUNED
61,0.486898348489565,2026-03-10 12:18:43.598309,2026-03-10 12:27:12.027026,0 days 00:08:28.428717,32,2,17,0.15517356662523016,0.0002811802318588,2,4,4,256,0.00015802418436573805,0.486898348489565,0.0,77.83595113438045,76.43979057591623,0.5820428346256104,0.486898348489565,,COMPLETE
62,0.49950028350007886,2026-03-10 12:27:12.027678,2026-03-10 12:34:56.647892,0 days 00:07:44.620214,32,2,17,0.15713116146779157,0.00021395758856571103,2,4,4,256,0.00015618782780702864,0.49950028350007886,0.0,76.04712041884817,75.5671902268761,0.5374659927103532,0.5073757317261754,,COMPLETE
63,0.5057028318782959,2026-03-10 12:34:56.648697,2026-03-10 12:43:24.614449,0 days 00:08:27.965752,32,2,17,0.1450656085645732,0.000446507822937642,2,4,4,256,9.978098991949168e-05,0.5057028318782959,0.0,77.79232111692845,74.3455497382199,0.5721456937972996,0.5057028318782959,,COMPLETE
64,,2026-03-10 12:43:24.628679,2026-03-10 12:44:39.025521,0 days 00:01:14.396842,64,64,17,0.1681061477763541,0.00013829205152700097,2,4,4,256,0.00029697879165048056,,,,,,,,PRUNED
65,0.6045602525716053,2026-03-10 12:44:39.026016,2026-03-10 12:44:44.968162,0 days 00:00:05.942146,32,2,65,0.12165691528856874,0.0001657456280765574,1,4,3,32,0.000474765397199301,,,,,0.6045602525716053,,,PRUNED
66,0.6971056055648165,2026-03-10 12:44:44.968663,2026-03-10 12:45:21.462316,0 days 00:00:36.493653,32,16,17,0.18707820363018637,0.0052536375869436285,2,3,4,64,0.00012653748318466857,,,,,0.5499435350116842,0.6971056055648165,,PRUNED
67,inf,2026-03-10 12:45:21.462784,2026-03-10 13:01:16.381800,0 days 00:15:54.919016,32,64,5,0.16151515185226398,0.0003196140835067921,3,4,3,256,0.00022854061288822932,inf,0.0,0.0,0.0,,,,COMPLETE
68,0.6346561245061132,2026-03-10 13:01:16.382571,2026-03-10 13:01:20.743524,0 days 00:00:04.360953,64,2,17,0.046405145284501216,0.00026579558856903947,1,4,4,32,7.890252952532181e-05,,,,,0.6346561245061132,,,PRUNED
69,0.5908105819637238,2026-03-10 13:01:20.744186,2026-03-10 13:01:40.517010,0 days 00:00:19.772824,32,64,65,0.1757053958580618,0.0006385813602994279,2,3,4,8,4.013129807977467e-05,,,,,0.5908105819637238,,,PRUNED
70,0.5498204632787388,2026-03-10 13:01:40.517481,2026-03-10 13:03:15.112972,0 days 00:01:34.595491,32,2,17,0.15123999379228395,0.00010526750359164794,3,4,3,64,5.7698127051459165e-05,,,,,0.5498204632787388,,,PRUNED
71,0.5530718333017972,2026-03-10 13:03:15.113474,2026-03-10 13:12:46.158591,0 days 00:09:31.045117,32,2,17,0.15509645063750505,0.00029360854256086505,2,4,4,256,0.00021115680037770123,,,,,0.5146792603828936,0.5530718333017972,,PRUNED
72,0.5915034881437012,2026-03-10 13:12:46.159174,2026-03-10 13:22:14.542812,0 days 00:09:28.383638,32,2,17,0.1434848290146457,0.00024214047637864346,2,4,4,256,0.0002854563873704778,,,,,0.5915034881437012,,,PRUNED
73,0.5880018031617942,2026-03-10 13:22:14.543271,2026-03-10 13:31:45.372297,0 days 00:09:30.829026,32,2,17,0.02835434286102909,0.0001933294493410632,2,4,4,256,0.00010732798009937987,,,,,0.5083040642904778,0.5880018031617942,,PRUNED
74,0.5353342986439743,2026-03-10 13:31:45.372854,2026-03-10 13:34:56.091977,0 days 00:03:10.719123,32,2,17,0.1339767124811251,0.0005241949009686486,2,4,4,256,0.0004968162745937675,,,,,0.5353342986439743,,,PRUNED
75,0.641579231874689,2026-03-10 13:34:56.092469,2026-03-10 13:36:44.943782,0 days 00:01:48.851313,64,8,129,0.17043744535187114,0.00041841067284394823,2,4,4,128,0.00016920693151462903,,,,,0.641579231874689,,,PRUNED
76,,2026-03-10 13:36:44.944237,2026-03-10 13:45:49.896832,0 days 00:09:04.952595,32,32,17,0.1617784212195897,0.00036673283911139483,3,4,2,256,0.00014471080922077572,,,,,,,,PRUNED
77,0.5456261586976509,2026-03-10 13:45:49.897332,2026-03-10 13:46:04.586928,0 days 00:00:14.689596,32,64,9,0.1809104903064607,0.0012113037163958712,1,4,4,32,2.6912573684286236e-05,,,,,0.5661226427783933,0.5456261586976509,,PRUNED
78,0.594101681551176,2026-03-10 13:46:04.587426,2026-03-10 13:47:58.361097,0 days 00:01:53.773671,16,4,17,0.15224977622350977,0.0008343597844604034,2,3,4,64,7.185088144919916e-06,,,,,0.594101681551176,,,PRUNED
79,0.6021382070128622,2026-03-10 13:47:58.361551,2026-03-10 13:48:09.495039,0 days 00:00:11.133488,32,32,65,0.12912504767747207,0.00031091997408293426,3,4,3,8,1.893062669268098e-05,,,,,0.6021382070128622,,,PRUNED
80,0.48907254264408795,2026-03-10 13:48:09.495543,2026-03-10 13:49:29.113937,0 days 00:01:19.618394,64,2,33,0.020127352602789014,0.0003723549813481654,1,4,4,16,4.488060382441779e-05,0.48907254264408795,0.0,77.5305410122164,76.96335078534031,0.4904266087172543,,,COMPLETE
81,0.5065916757933132,2026-03-10 13:49:29.114638,2026-03-10 13:50:31.980138,0 days 00:01:02.865500,64,2,33,0.017796187792749742,0.0003849906043517915,1,4,4,16,4.696888236786254e-05,,,,,0.5065916757933132,,,PRUNED
82,0.6069196426223502,2026-03-10 13:50:31.980839,2026-03-10 13:50:40.400773,0 days 00:00:08.419934,64,2,33,0.02340101273293054,0.00024167662980265412,1,4,4,16,3.532579969886291e-05,,,,,0.6069196426223502,,,PRUNED
83,0.4754466289625118,2026-03-10 13:50:40.401494,2026-03-10 13:51:58.509129,0 days 00:01:18.107635,64,2,33,0.041676356320765905,0.0007335771874386538,1,4,4,16,2.8092830974019577e-06,0.4754466289625118,0.0,80.0610820244328,77.13787085514834,0.47946981953076667,,,COMPLETE
84,0.48174543811388665,2026-03-10 13:51:58.510089,2026-03-10 13:53:06.466570,0 days 00:01:07.956481,64,2,33,0.006761616966403743,0.0007176925408047573,1,4,4,16,2.479972417015332e-06,0.48174543811388665,0.0,79.45026178010471,75.74171029668412,0.515058319606082,0.48447553878471283,,COMPLETE
85,0.5910889533385765,2026-03-10 13:53:06.467592,2026-03-10 13:53:10.855959,0 days 00:00:04.388367,64,32,33,0.007076644893390632,0.000973123061414454,1,4,4,16,2.9054039838260557e-06,,,,,0.5910889533385765,,,PRUNED
86,0.5673380466031779,2026-03-10 13:53:10.857047,2026-03-10 13:53:19.551142,0 days 00:00:08.694095,64,16,33,0.012763405654791529,0.000733110672397964,1,4,2,16,2.5037006119549886e-06,,,,,0.5673380466031779,,,PRUNED
87,0.6766977638890398,2026-03-10 13:53:19.551821,2026-03-10 13:53:22.661832,0 days 00:00:03.110011,64,2,33,0.03217438789202212,0.009958958451128461,1,4,3,16,1.3402550444066329e-06,,,,,0.6766977638890398,,,PRUNED
88,0.49648002887479503,2026-03-10 13:53:22.662534,2026-03-10 13:54:39.253314,0 days 00:01:16.590780,64,64,33,0.04635426320250317,0.0004823009720312329,1,4,4,16,1.0204208253225424e-05,,,,,0.49648002887479503,,,PRUNED
89,0.47399832867411,2026-03-10 13:54:39.254320,2026-03-10 13:55:38.388665,0 days 00:00:59.134345,64,2,33,0.007563080539984319,0.0014672699840727642,1,4,4,16,4.109877339772146e-06,0.47399832867411,0.0,81.80628272251309,77.66143106457243,0.5095820191851045,,,COMPLETE
90,0.5592569106536386,2026-03-10 13:55:38.389407,2026-03-10 13:55:45.549721,0 days 00:00:07.160314,64,32,33,0.009003022990858381,0.003975737286550642,1,2,4,16,3.999520900837332e-06,,,,,0.5592569106536386,,,PRUNED
91,0.5968015459195481,2026-03-10 13:55:45.550387,2026-03-10 13:55:48.757157,0 days 00:00:03.206770,64,2,33,0.020137434003732607,0.0008578669414276763,1,4,4,16,5.8706065615033855e-06,,,,,0.5968015459195481,,,PRUNED
92,0.7696240649381442,2026-03-10 13:55:48.757914,2026-03-10 13:55:57.175926,0 days 00:00:08.418012,64,2,33,0.0013825241957843258,0.0017703278165537171,1,4,4,16,3.5524547121875614e-06,,,,,0.5806738984938483,0.7696240649381442,,PRUNED
93,0.5935734610282938,2026-03-10 13:55:57.176618,2026-03-10 13:56:00.857671,0 days 00:00:03.681053,64,2,33,0.04045340877179536,0.00639627652184581,1,4,4,16,4.3677737687268894e-06,,,,,0.5935734610282938,,,PRUNED
94,0.5565178097854734,2026-03-10 13:56:00.858391,2026-03-10 13:56:08.585448,0 days 00:00:07.727057,64,2,33,0.005447794926159322,0.0010975115962242386,1,4,4,16,3.2018746561053804e-06,,,,,0.5565178097854734,,,PRUNED
95,0.5730076836873932,2026-03-10 13:56:08.585897,2026-03-10 13:56:17.079875,0 days 00:00:08.493978,64,2,33,0.014337852615343117,0.0005863965388231802,1,4,4,16,2.0184885537511485e-06,,,,,0.5730076836873932,,,PRUNED
96,0.5946829718444984,2026-03-10 13:56:17.080607,2026-03-10 13:56:20.514034,0 days 00:00:03.433427,64,64,9,0.03080877913052421,0.0014447952539759208,1,3,4,16,1.4077324543020694e-06,,,,,0.5946829718444984,,,PRUNED
97,0.6254377906027057,2026-03-10 13:56:20.514715,2026-03-10 13:56:25.185935,0 days 00:00:04.671220,128,2,33,0.02208389373532727,0.000698760959163412,1,4,3,32,1.4497378169639704e-05,,,,,0.6254377906027057,,,PRUNED
98,0.5972977462655379,2026-03-10 13:56:25.186435,2026-03-10 13:56:33.200666,0 days 00:00:08.014231,64,32,5,0.016887239483623376,0.0028413663116444027,1,4,2,16,2.476403549682221e-06,,,,,0.5972977462655379,,,PRUNED
99,0.5424705004192771,2026-03-10 13:56:33.201349,2026-03-10 13:58:21.120362,0 days 00:01:47.919013,64,8,33,0.0366279717931075,0.0004424463535752864,1,4,4,32,5.502389748244427e-06,,,,,0.5424705004192771,,,PRUNED
